"id","name","longitude","latitude","weigth"
"3260","Mercer St & Bleecker St","-73.9966","40.7271","4475"
"531","Forsyth St & Broome St","-73.9927","40.7189","4469"
"428","E 3 St & 1 Ave","-73.9878","40.7247","4453"
"484","W 44 St & 5 Ave","-73.9801","40.755","4441"
"167","E 39 St & 3 Ave","-73.9761","40.7489","4432"
"3282","5 Ave & E 88 St","-73.9594","40.7831","4429"
"2003","1 Ave & E 18 St","-73.9805","40.7338","4418"
"312","Allen St & Stanton St","-73.9891","40.7221","4418"
"377","6 Ave & Canal St","-74.0057","40.7224","4415"
"307","Canal St & Rutgers St","-73.9899","40.7143","4398"
"410","Suffolk St & Stanton St","-73.9852","40.7207","4377"
"3258","W 27 St & 10 Ave","-74.0022","40.7502","4371"
"388","W 26 St & 10 Ave","-74.003","40.7497","4363"
"3167","Amsterdam Ave & W 73 St","-73.9809","40.7797","4357"
"517","Pershing Square South","-73.9779","40.7516","4351"
"501","FDR Drive & E 35 St","-73.9712","40.7442","4331"
"433","E 13 St & Avenue A","-73.9806","40.7296","4285"
"529","W 42 St & 8 Ave","-73.991","40.7576","4251"
"336","Sullivan St & Washington Sq","-73.9991","40.7305","4236"
"478","11 Ave & W 41 St","-73.9988","40.7603","4218"
"530","11 Ave & W 59 St","-73.9905","40.7715","4166"
"301","E 2 St & Avenue B","-73.9837","40.7222","4143"
"476","E 31 St & 3 Ave","-73.9797","40.7439","4138"
"326","E 11 St & 1 Ave","-73.9843","40.7295","4120"
"3158","W 63 St & Broadway","-73.9826","40.7716","4088"
"439","E 4 St & 2 Ave","-73.9898","40.7263","4052"
"536","1 Ave & E 30 St","-73.9754","40.7414","4049"
"3223","E 55 St & 3 Ave","-73.9687","40.759","4027"
"525","W 34 St & 11 Ave","-74.0021","40.7559","4025"
"447","8 Ave & W 52 St","-73.9852","40.7637","4012"
"546","E 30 St & Park Ave S","-73.983","40.7444","3984"
"487","E 20 St & FDR Drive","-73.9757","40.7331","3927"
"515","W 43 St & 10 Ave","-73.9946","40.7601","3917"
"520","W 52 St & 5 Ave","-73.9765","40.7599","3911"
"253","W 13 St & 5 Ave","-73.9945","40.7354","3898"
"532","S 5 Pl & S 4 St","-73.9609","40.7104","3881"
"195","Liberty St & Broadway","-74.0104","40.7091","3881"
"305","E 58 St & 3 Ave","-73.9672","40.761","3867"
"363","West Thames St","-74.0171","40.7083","3866"
"265","Stanton St & Chrystie St","-73.9915","40.7223","3853"
"361","Allen St & Hester St","-73.9919","40.7161","3848"
"315","South St & Gouverneur Ln","-74.0067","40.7036","3843"
"309","Murray St & West St","-74.013","40.715","3832"
"528","2 Ave & E 31 St","-73.9771","40.7429","3823"
"268","Howard St & Centre St","-73.9997","40.7191","3820"
"3244","University Pl & E 8 St","-73.9949","40.7314","3810"
"72","W 52 St & 11 Ave","-73.9939","40.7673","3809"
"3143","5 Ave & E 78 St","-73.9643","40.7763","3807"
"279","Peck Slip & Front St","-74.0017","40.7079","3713"
"317","E 6 St & Avenue B","-73.9819","40.7245","3702"
"3168","Central Park West & W 85 St","-73.9696","40.7847","3688"
"495","W 47 St & 10 Ave","-73.993","40.7627","3681"
"217","Old Fulton St","-73.9938","40.7028","3648"
"3236","W 42 St & Dyer Ave","-73.9938","40.759","3642"
"3142","1 Ave & E 62 St","-73.9609","40.7612","3641"
"2012","E 27 St & 1 Ave","-73.9768","40.7394","3626"
"508","W 46 St & 11 Ave","-73.9967","40.7634","3622"
"448","W 37 St & 10 Ave","-73.9979","40.7566","3607"
"328","Watts St & Greenwich St","-74.0097","40.7241","3602"
"3259","9 Ave & W 28 St","-73.9992","40.7494","3595"
"335","Washington Pl & Broadway","-73.994","40.729","3583"
"438","St Marks Pl & 1 Ave","-73.9856","40.7278","3566"
"257","Lispenard St & Broadway","-74.0025","40.7194","3549"
"3140","1 Ave & E 78 St","-73.9535","40.7714","3547"
"470","W 20 St & 8 Ave","-74","40.7435","3537"
"480","W 53 St & 10 Ave","-73.9906","40.7667","3532"
"174","E 25 St & 1 Ave","-73.9774","40.7382","3515"
"469","Broadway & W 53 St","-73.9827","40.7634","3458"
"485","W 37 St & 5 Ave","-73.9834","40.7504","3454"
"346","Bank St & Hudson St","-74.0062","40.7365","3447"
