"id","name","longitude","latitude","arrival_trips","departure_trips","difference"
"419","Carlton Ave & Park Ave","-73.9736","40.6958","746","691","55"
"438","St Marks Pl & 1 Ave","-73.9856","40.7278","3621","3566","55"
"3391","E 106 St & 1 Ave","-73.9396","40.7893","599","544","55"
"483","E 12 St & 3 Ave","-73.9889","40.7322","5112","5058","54"
"322","Clinton St & Tillary St","-73.9912","40.6962","339","285","54"
"3344","Pioneer St & Van Brunt St","-74.0112","40.679","629","575","54"
"482","W 15 St & 7 Ave","-73.9993","40.7394","4957","4904","53"
"3335","Union St & 4 Ave","-73.9828","40.6773","1075","1022","53"
"3140","1 Ave & E 78 St","-73.9535","40.7714","3600","3547","53"
"523","W 38 St & 8 Ave","-73.9914","40.7547","7204","7151","53"
"3340","Wolcott St & Dwight St","-74.0101","40.6753","193","141","52"
"3116","Huron St & Franklin St","-73.9583","40.7327","1498","1446","52"
"516","E 47 St & 1 Ave","-73.9678","40.7521","1720","1669","51"
"465","Broadway & W 41 St","-73.9866","40.7551","5899","5848","51"
"386","Centre St & Worth St","-74.0023","40.7149","2555","2504","51"
"3323","W 106 St & Central Park West","-73.9606","40.7982","2165","2114","51"
"3337","Dwight St & Van Dyke St","-74.012","40.6736","250","200","50"
"3062","Myrtle Ave & Marcy Ave","-73.9495","40.6954","598","548","50"
"3263","Cooper Square & E 7 St","-73.9909","40.7292","7080","7031","49"
"3333","Columbia St & Lorraine St","-74.0076","40.6747","133","84","49"
"3324","3 Ave & 14 St","-73.9933","40.6685","529","481","48"
"261","Johnson St & Gold St","-73.9836","40.6947","1316","1268","48"
"439","E 4 St & 2 Ave","-73.9898","40.7263","4099","4052","47"
"466","W 25 St & 6 Ave","-73.9914","40.744","6130","6083","47"
"238","Bank St & Washington St","-74.0086","40.7362","2958","2911","47"
"3107","Bedford Ave & Nassau Ave","-73.9521","40.7231","2511","2464","47"
"3311","Columbia St & Kane St","-74.0016","40.6876","1043","997","46"
"341","Stanton St & Mangin St","-73.9763","40.7178","1577","1531","46"
"346","Bank St & Hudson St","-74.0062","40.7365","3491","3447","44"
"3331","Riverside Dr & W 104 St","-73.9711","40.8013","1471","1428","43"
"3305","E 91 St & 2 Ave","-73.9497","40.7811","2010","1967","43"
"3166","Riverside Dr & W 72 St","-73.9856","40.7806","2635","2592","43"
"3372","E 74 St & 1 Ave","-73.9548","40.769","946","904","42"
"3390","E 109 St & 3 Ave","-73.9432","40.7933","879","838","41"
"259","South St & Whitehall St","-74.0123","40.7012","3033","2992","41"
"3428","8 Ave & W 16 St","-74.0017","40.741","5638","5597","41"
"3327","3 Ave & E 100 St","-73.9473","40.7877","294","254","40"
"3394","Columbia St & W 9 St","-74.0065","40.677","94","54","40"
"3151","E 81 St & York Ave","-73.9499","40.7728","2008","1968","40"
"264","Maiden Ln & Pearl St","-74.0073","40.7071","2204","2164","40"
"332","Cherry St","-73.9795","40.7122","1685","1646","39"
"3307","West End Ave & W 94 St","-73.9741","40.7942","1510","1471","39"
"3141","1 Ave & E 68 St","-73.9582","40.765","5568","5530","38"
"3421","Hoyt St & Warren St","-73.989","40.6844","386","348","38"
"3383","Cathedral Pkwy & Broadway","-73.967","40.8042","3110","3072","38"
"3092","Berry St & N 8 St","-73.9585","40.719","2266","2229","37"
"3330","Henry St & Bay St","-74.0049","40.6725","157","120","37"
"496","E 16 St & 5 Ave","-73.9924","40.7373","5497","5460","37"
"3417","Baltic St & 5 Ave","-73.9785","40.6796","1014","977","37"
"3364","Carroll St & 5 Ave","-73.9815","40.6752","1006","969","37"
"3117","Franklin St & Dupont St","-73.9587","40.7356","848","812","36"
"2000","Front St & Washington St","-73.9894","40.7025","2045","2009","36"
"247","Perry St & Bleecker St","-74.0048","40.7354","2755","2720","35"
"415","Pearl St & Hanover Square","-74.0093","40.7047","2162","2127","35"
"3347","Van Brunt St & Wolcott St","-74.0127","40.6773","816","781","35"
"3282","5 Ave & E 88 St","-73.9594","40.7831","4463","4429","34"
"421","Clermont Ave & Park Ave","-73.9713","40.6957","659","625","34"
"3348","Coffey St & Conover St","-74.0157","40.6772","482","448","34"
"225","W 14 St & The High Line","-74.008","40.742","977","943","34"
"3244","University Pl & E 8 St","-73.9949","40.7314","3844","3810","34"
"3259","9 Ave & W 28 St","-73.9992","40.7494","3629","3595","34"
"3085","Roebling St & N 4 St","-73.9574","40.7147","1331","1298","33"
"360","William St & Pine St","-74.0089","40.7072","2033","2000","33"
"3077","Stagg St & Union Ave","-73.951","40.7088","1171","1138","33"
"430","York St & Jay St","-73.9866","40.7015","3146","3114","32"
"260","Broad St & Bridge St","-74.0117","40.7037","1567","1535","32"
"384","Fulton St & Washington Ave","-73.9649","40.683","1780","1748","32"
"3067","Broadway & Whipple St","-73.9437","40.7017","621","589","32"
"3392","Commerce St & Van Brunt St","-74.0086","40.6812","394","362","32"
"2009","Catherine St & Monroe St","-73.9968","40.7112","1716","1684","32"
"280","E 10 St & 5 Ave","-73.9951","40.7333","2888","2857","31"
"311","Norfolk St & Broome St","-73.988","40.7172","2555","2524","31"
"3407","Union St & Nevins St","-73.9877","40.6791","884","853","31"
"428","E 3 St & 1 Ave","-73.9878","40.7247","4483","4453","30"
"3290","E 89 St & York Ave","-73.946","40.7779","1483","1453","30"
"358","Christopher St & Greenwich St","-74.0071","40.7329","6870","6841","29"
"3233","E 48 St & 5 Ave","-73.9781","40.7572","4700","4671","29"
"305","E 58 St & 3 Ave","-73.9672","40.761","3896","3867","29"
"3353","Reed St & Van Brunt St","-74.0161","40.6748","930","901","29"
"3318","2 Ave & E 96 St","-73.9472","40.784","1659","1630","29"
"410","Suffolk St & Stanton St","-73.9852","40.7207","4406","4377","29"
"488","W 39 St & 9 Ave","-73.9937","40.7565","5107","5078","29"
"3286","E 89 St & 3 Ave","-73.9522","40.7806","1488","1460","28"
"442","W 27 St & 7 Ave","-73.9939","40.7466","6118","6090","28"
"453","W 22 St & 8 Ave","-73.9992","40.7448","4944","4916","28"
"3368","5 Ave & 3 St","-73.9835","40.6728","1376","1349","27"
"3157","East End Ave & E 86 St","-73.9445","40.7752","959","932","27"
"3250","NYCBS Depot - PIT","-73.9838","40.7169","32","5","27"
"3458","W 55 St & 6 Ave","-73.9783","40.7631","2002","1975","27"
"3350","W 100 St & Broadway","-73.9704","40.7974","1659","1632","27"
"79","Franklin St & W Broadway","-74.0067","40.7191","2761","2734","27"
"434","9 Ave & W 18 St","-74.0037","40.7432","1428","1401","27"
"3408","Congress St & Clinton St","-73.9952","40.6882","282","256","26"
"3389","Carroll St & Columbia St","-74.0035","40.683","959","933","26"
"3419","Douglass St & 4 Ave","-73.9815","40.6793","962","936","26"
"533","Broadway & W 39 St","-73.9872","40.753","356","330","26"
"3422","Columbia St & Degraw St","-74.0024","40.6859","1018","993","25"
"530","11 Ave & W 59 St","-73.9905","40.7715","4191","4166","25"
"3403","4 Ave & 9 St","-73.9888","40.6705","766","741","25"
"3339","Berkeley Pl & 6 Ave","-73.9785","40.6765","732","707","25"
"3420","Douglass St & 3 Ave","-73.9843","40.6802","885","860","25"
"295","Pike St & E Broadway","-73.9929","40.7141","2352","2328","24"
"3109","Banker St & Meserole Ave","-73.9562","40.7261","1231","1207","24"
"127","Barrow St & Hudson St","-74.0067","40.7317","5847","5823","24"
"3148","E 84 St & 1 Ave","-73.9507","40.7757","1740","1717","23"
"3322","12 St & 4 Ave","-73.9904","40.6686","354","331","23"
"392","Jay St & Tech Pl","-73.9872","40.6951","1921","1898","23"
"3411","Bond St & Bergen St","-73.9862","40.685","835","813","22"
"3063","Nostrand Ave & Myrtle Ave","-73.9524","40.6953","349","327","22"
"2005","Railroad Ave & Kay Ave","-73.971","40.7053","150","128","22"
"3106","Driggs Ave & N Henry St","-73.9431","40.7233","1162","1140","22"
"3169","Riverside Dr & W 82 St","-73.9813","40.7872","1900","1878","22"
"257","Lispenard St & Broadway","-74.0025","40.7194","3571","3549","22"
"3399","7 St & 3 Ave","-73.9898","40.6726","435","413","22"
"3351","E 102 St & 1 Ave","-73.9417","40.787","1293","1272","21"
"546","E 30 St & Park Ave S","-73.983","40.7444","4005","3984","21"
"3100","Nassau Ave & Newell St","-73.9475","40.7248","1117","1096","21"
"423","W 54 St & 9 Ave","-73.9869","40.7659","2784","2763","21"
"3180","Brooklyn Bridge Park - Pier 2","-73.9971","40.6988","1475","1454","21"
"3400","E 110 St & Madison Ave","-73.9478","40.7962","1395","1374","21"
"545","E 23 St & 1 Ave","-73.9781","40.7365","4699","4678","21"
"3377","Carroll St & Bond St","-73.9904","40.6786","752","731","21"
"254","W 11 St & 6 Ave","-73.998","40.7353","2708","2687","21"
"331","Pike St & Monroe St","-73.9919","40.7117","1430","1410","20"
"3103","N 11 St & Wythe Ave","-73.9578","40.7215","1174","1154","20"
"3410","Dean St & Hoyt St","-73.9876","40.6864","731","711","20"
"3072","Leonard St & Boerum St","-73.9464","40.7058","441","422","19"
"316","Fulton St & William St","-74.0065","40.7096","2436","2417","19"
"340","Madison St & Clinton St","-73.9878","40.7127","1805","1786","19"
"3135","E 75 St & 3 Ave","-73.9577","40.7711","1662","1643","19"
"396","Lefferts Pl & Franklin Ave","-73.9558","40.6803","1239","1221","18"
"3130","21 St & Queens Plaza North","-73.9434","40.7533","474","456","18"
"3048","Putnam Ave & Nostrand Ave","-73.9498","40.684","407","389","18"
"3120","Center Blvd & Borden Ave","-73.9604","40.7416","546","529","17"
"253","W 13 St & 5 Ave","-73.9945","40.7354","3915","3898","17"
"3124","46 Ave & 5 St","-73.9545","40.7473","1162","1145","17"
