tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
148,2017-05-01 00:05:47,2017-05-01 00:08:15,265,Stanton St & Chrystie St,40.72229346,-73.99147535,251,Mott St & Prince St,40.72317958,-73.99480012,27166,Subscriber,1950,2
1469,2017-05-01 00:06:04,2017-05-01 00:30:34,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,16441,Subscriber,1980,1
137,2017-05-01 00:06:10,2017-05-01 00:08:28,528,2 Ave & E 31 St,40.74290902,-73.97706058,2012,E 27 St & 1 Ave,40.739445,-73.976806,15559,Subscriber,1986,1
977,2017-05-01 00:06:24,2017-05-01 00:22:42,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,27095,Subscriber,1980,2
299,2017-05-01 00:06:31,2017-05-01 00:11:30,459,W 20 St & 11 Ave,40.746745,-74.007756,334,W 20 St & 7 Ave,40.74238787,-73.99726235,25472,Subscriber,1968,1
279,2017-05-01 00:07:04,2017-05-01 00:11:44,536,1 Ave & E 30 St,40.74144387,-73.97536082,2003,1 Ave & E 18 St,40.733812192,-73.9805442095,26446,Subscriber,1987,1
727,2017-05-01 00:07:05,2017-05-01 00:19:13,453,W 22 St & 8 Ave,40.74475148,-73.99915362,309,Murray St & West St,40.7149787,-74.013012,19540,Subscriber,1966,1
345,2017-05-01 00:07:24,2017-05-01 00:13:09,3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,3052,Lewis Ave & Madison St,40.686312,-73.935775,16677,Subscriber,1998,2
2023,2017-05-01 00:07:30,2017-05-01 00:41:13,526,E 33 St & 5 Ave,40.74765947,-73.98490707,500,Broadway & W 51 St,40.76228826,-73.98336183,25966,Customer,NULL,0
276,2017-05-01 00:08:32,2017-05-01 00:13:09,3244,University Pl & E 8 St,40.7314372409,-73.9949034154,482,W 15 St & 7 Ave,40.73935542,-73.99931783,26794,Subscriber,1986,1
155,2017-05-01 00:08:46,2017-05-01 00:11:21,428,E 3 St & 1 Ave,40.72467721,-73.98783413,393,E 5 St & Avenue C,40.72299208,-73.97995466,28187,Subscriber,1989,1
932,2017-05-01 00:09:04,2017-05-01 00:24:36,3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,307,Canal St & Rutgers St,40.71427487,-73.98990025,25953,Subscriber,1966,1
677,2017-05-01 00:09:06,2017-05-01 00:20:24,459,W 20 St & 11 Ave,40.746745,-74.007756,477,W 41 St & 8 Ave,40.75640548,-73.9900262,18918,Subscriber,1979,1
240,2017-05-01 00:10:11,2017-05-01 00:14:12,441,E 52 St & 2 Ave,40.756014,-73.967416,518,E 39 St & 2 Ave,40.74780373,-73.9734419,28842,Subscriber,1989,1
311,2017-05-01 00:10:12,2017-05-01 00:15:23,494,W 26 St & 8 Ave,40.74734825,-73.99723551,458,11 Ave & W 27 St,40.751396,-74.005226,28266,Subscriber,1981,1
425,2017-05-01 00:10:24,2017-05-01 00:17:30,3428,8 Ave & W 16 St,40.740983,-74.001702,388,W 26 St & 10 Ave,40.749717753,-74.002950346,26010,Subscriber,1985,2
819,2017-05-01 00:10:31,2017-05-01 00:24:10,435,W 21 St & 6 Ave,40.74173969,-73.99415556,301,E 2 St & Avenue B,40.72217444,-73.98368779,25431,Subscriber,1987,1
1359,2017-05-01 00:10:31,2017-05-01 00:33:11,217,Old Fulton St,40.70277159,-73.99383605,387,Centre St & Chambers St,40.71273266,-74.0046073,17698,Customer,NULL,0
1674,2017-05-01 00:10:30,2017-05-01 00:38:25,3341,Central Park West & W 102 St,40.795346,-73.96186,3445,Riverside Dr & W 89 St,40.791811715,-73.9786022902,20085,Subscriber,1963,1
333,2017-05-01 00:10:42,2017-05-01 00:16:16,428,E 3 St & 1 Ave,40.72467721,-73.98783413,150,E 2 St & Avenue C,40.7208736,-73.98085795,14736,Subscriber,1977,1
1294,2017-05-01 00:10:45,2017-05-01 00:32:19,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,488,W 39 St & 9 Ave,40.75645824,-73.99372222,28080,Customer,NULL,0
194,2017-05-01 00:11:03,2017-05-01 00:14:17,402,Broadway & E 22 St,40.7403432,-73.98955109,486,Broadway & W 29 St,40.7462009,-73.98855723,19665,Customer,NULL,0
193,2017-05-01 00:11:19,2017-05-01 00:14:32,528,2 Ave & E 31 St,40.74290902,-73.97706058,174,E 25 St & 1 Ave,40.7381765,-73.97738662,28349,Subscriber,1989,1
1030,2017-05-01 00:11:26,2017-05-01 00:28:36,459,W 20 St & 11 Ave,40.746745,-74.007756,445,E 10 St & Avenue A,40.72740794,-73.98142006,28551,Subscriber,1994,1
159,2017-05-01 00:11:33,2017-05-01 00:14:12,401,Allen St & Rivington St,40.72019576,-73.98997825,251,Mott St & Prince St,40.72317958,-73.99480012,16476,Subscriber,1993,1
685,2017-05-01 00:11:32,2017-05-01 00:22:58,3427,Lafayette St & Jersey St,40.7243052725,-73.9960098267,334,W 20 St & 7 Ave,40.74238787,-73.99726235,15011,Subscriber,1950,1
622,2017-05-01 00:12:04,2017-05-01 00:22:27,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,3142,1 Ave & E 62 St,40.7612274,-73.96094022,25082,Subscriber,1983,1
176,2017-05-01 00:12:07,2017-05-01 00:15:03,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,3100,Nassau Ave & Newell St,40.7248125644,-73.9475262165,16243,Subscriber,1984,1
249,2017-05-01 00:12:46,2017-05-01 00:16:56,428,E 3 St & 1 Ave,40.72467721,-73.98783413,317,E 6 St & Avenue B,40.72453734,-73.98185424,27670,Subscriber,1988,1
238,2017-05-01 00:13:01,2017-05-01 00:17:00,477,W 41 St & 8 Ave,40.75640548,-73.9900262,524,W 43 St & 6 Ave,40.75527307,-73.98316936,25336,Subscriber,1964,1
450,2017-05-01 00:13:04,2017-05-01 00:20:35,497,E 17 St & Broadway,40.73704984,-73.99009296,301,E 2 St & Avenue B,40.72217444,-73.98368779,21529,Subscriber,1981,2
1329,2017-05-01 00:13:17,2017-05-01 00:35:27,382,University Pl & E 14 St,40.73492695,-73.99200509,520,W 52 St & 5 Ave,40.75992262,-73.97648516,26847,Customer,NULL,0
790,2017-05-01 00:13:19,2017-05-01 00:26:29,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,488,W 39 St & 9 Ave,40.75645824,-73.99372222,14786,Subscriber,1988,2
768,2017-05-01 00:13:25,2017-05-01 00:26:14,3427,Lafayette St & Jersey St,40.7243052725,-73.9960098267,507,E 25 St & 2 Ave,40.73912601,-73.97973776,28977,Subscriber,1993,1
2315,2017-05-01 00:13:26,2017-05-01 00:52:02,3351,E 102 St & 1 Ave,40.7869946,-73.94164802,3425,2 Ave  & E 104 St,40.7892105,-73.94370784,28219,Subscriber,1988,1
306,2017-05-01 00:14:09,2017-05-01 00:19:16,519,Pershing Square North,40.751873,-73.977706,518,E 39 St & 2 Ave,40.74780373,-73.9734419,28986,Subscriber,1986,2
129,2017-05-01 00:14:12,2017-05-01 00:16:22,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,432,E 7 St & Avenue A,40.72621788,-73.98379855,18789,Subscriber,1970,1
156,2017-05-01 00:14:18,2017-05-01 00:16:54,384,Fulton St & Washington Ave,40.683048,-73.964915,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,26937,Subscriber,1987,1
966,2017-05-01 00:14:27,2017-05-01 00:30:33,3428,8 Ave & W 16 St,40.740983,-74.001702,499,Broadway & W 60 St,40.76915505,-73.98191841,26123,Subscriber,1984,1
269,2017-05-01 00:14:33,2017-05-01 00:19:02,533,Broadway & W 39 St,40.75299641,-73.98721619,442,W 27 St & 7 Ave,40.746647,-73.993915,26452,Subscriber,1988,2
1180,2017-05-01 00:14:40,2017-05-01 00:34:20,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,19708,Subscriber,1976,1
561,2017-05-01 00:14:47,2017-05-01 00:24:08,237,E 11 St & 2 Ave,40.73047309,-73.98672378,368,Carmine St & 6 Ave,40.73038599,-74.00214988,28361,Subscriber,1973,2
339,2017-05-01 00:15:24,2017-05-01 00:21:03,3428,8 Ave & W 16 St,40.740983,-74.001702,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,20634,Subscriber,1994,1
938,2017-05-01 00:15:26,2017-05-01 00:31:04,308,St James Pl & Oliver St,40.71307916,-73.99851193,545,E 23 St & 1 Ave,40.736502,-73.97809472,28960,Subscriber,1985,1
261,2017-05-01 00:15:25,2017-05-01 00:19:47,307,Canal St & Rutgers St,40.71427487,-73.98990025,301,E 2 St & Avenue B,40.72217444,-73.98368779,25161,Subscriber,1991,1
1349,2017-05-01 00:15:42,2017-05-01 00:38:11,358,Christopher St & Greenwich St,40.73291553,-74.00711384,312,Allen St & Stanton St,40.722055,-73.989111,28883,Customer,1981,2
1402,2017-05-01 00:15:50,2017-05-01 00:39:13,296,Division St & Bowery,40.71413089,-73.9970468,3258,W 27 St & 10 Ave,40.7501815633,-74.0021842718,17885,Subscriber,1963,1
873,2017-05-01 00:15:50,2017-05-01 00:30:23,279,Peck Slip & Front St,40.707873,-74.00167,410,Suffolk St & Stanton St,40.72066442,-73.98517977,19391,Subscriber,1959,1
208,2017-05-01 00:16:09,2017-05-01 00:19:38,422,W 59 St & 10 Ave,40.770513,-73.988038,423,W 54 St & 9 Ave,40.76584941,-73.98690506,26368,Subscriber,1966,1
141,2017-05-01 00:16:15,2017-05-01 00:18:37,495,W 47 St & 10 Ave,40.76269882,-73.99301222,480,W 53 St & 10 Ave,40.76669671,-73.99061728,25244,Subscriber,1987,1
680,2017-05-01 00:16:40,2017-05-01 00:28:01,334,W 20 St & 7 Ave,40.74238787,-73.99726235,439,E 4 St & 2 Ave,40.7262807,-73.98978041,25715,Subscriber,1983,2
1068,2017-05-01 00:16:59,2017-05-01 00:34:47,3427,Lafayette St & Jersey St,40.7243052725,-73.9960098267,401,Allen St & Rivington St,40.72019576,-73.98997825,16606,Customer,1974,1
165,2017-05-01 00:17:03,2017-05-01 00:19:48,335,Washington Pl & Broadway,40.72903917,-73.99404649,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,19371,Subscriber,1994,1
176,2017-05-01 00:17:23,2017-05-01 00:20:19,3440,Fulton St & Adams St,40.6924182926,-73.989494741,391,Clark St & Henry St,40.69760127,-73.99344559,25722,Subscriber,1965,1
661,2017-05-01 00:17:50,2017-05-01 00:28:52,3317,10 St & 5 Ave,40.6686273,-73.98700053,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,28575,Subscriber,1988,1
1544,2017-05-01 00:17:55,2017-05-01 00:43:40,445,E 10 St & Avenue A,40.72740794,-73.98142006,445,E 10 St & Avenue A,40.72740794,-73.98142006,26594,Customer,NULL,0
415,2017-05-01 00:18:12,2017-05-01 00:25:08,379,W 31 St & 7 Ave,40.749156,-73.9916,345,W 13 St & 6 Ave,40.73649403,-73.99704374,25317,Subscriber,1982,1
79,2017-05-01 00:18:40,2017-05-01 00:20:00,3447,E 71 St & 1 Ave,40.7670343231,-73.9562273026,3156,E 72 St & York Ave,40.76663814,-73.95348296,28434,Subscriber,1968,1
595,2017-05-01 00:18:36,2017-05-01 00:28:31,461,E 20 St & 2 Ave,40.73587678,-73.98205027,439,E 4 St & 2 Ave,40.7262807,-73.98978041,25159,Subscriber,1971,1
488,2017-05-01 00:18:43,2017-05-01 00:26:52,293,Lafayette St & E 8 St,40.7302066053,-73.9910262823,410,Suffolk St & Stanton St,40.72066442,-73.98517977,26417,Subscriber,1976,2
224,2017-05-01 00:19:15,2017-05-01 00:22:59,355,Bayard St & Baxter St,40.71602118,-73.99974372,417,Barclay St & Church St,40.71291224,-74.01020234,24854,Subscriber,1991,1
257,2017-05-01 00:19:50,2017-05-01 00:24:07,3387,E 106 St & Madison Ave,40.7934337,-73.94945003,3351,E 102 St & 1 Ave,40.7869946,-73.94164802,28573,Subscriber,1992,1
122,2017-05-01 00:20:01,2017-05-01 00:22:04,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,27171,Subscriber,1988,1
959,2017-05-01 00:20:15,2017-05-01 00:36:15,377,6 Ave & Canal St,40.72243797,-74.00566443,317,E 6 St & Avenue B,40.72453734,-73.98185424,17543,Subscriber,1972,1
400,2017-05-01 00:20:17,2017-05-01 00:26:57,490,8 Ave & W 33 St,40.751551,-73.993934,447,8 Ave & W 52 St,40.76370739,-73.9851615,27471,Subscriber,1979,1
226,2017-05-01 00:20:20,2017-05-01 00:24:07,3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,24808,Subscriber,1990,1
163,2017-05-01 00:20:44,2017-05-01 00:23:27,350,Clinton St & Grand St,40.71559509,-73.9870295,502,Henry St & Grand St,40.714215,-73.981346,17147,Subscriber,1967,1
1065,2017-05-01 00:21:09,2017-05-01 00:38:54,514,12 Ave & W 40 St,40.76087502,-74.00277668,457,Broadway & W 58 St,40.76695317,-73.98169333,26487,Customer,NULL,0
688,2017-05-01 00:22:10,2017-05-01 00:33:38,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,257,Lispenard St & Broadway,40.71939226,-74.00247214,26957,Customer,1986,1
324,2017-05-01 00:22:26,2017-05-01 00:27:51,504,1 Ave & E 16 St,40.73221853,-73.98165557,433,E 13 St & Avenue A,40.72955361,-73.98057249,28713,Subscriber,1996,1
242,2017-05-01 00:22:42,2017-05-01 00:26:45,3263,Cooper Square & E 7 St,40.7292364991,-73.990868032,251,Mott St & Prince St,40.72317958,-73.99480012,26673,Subscriber,1973,1
1339,2017-05-01 00:23:02,2017-05-01 00:45:21,457,Broadway & W 58 St,40.76695317,-73.98169333,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,20721,Customer,NULL,0
275,2017-05-01 00:23:34,2017-05-01 00:28:09,472,E 32 St & Park Ave,40.7457121,-73.98194829,536,1 Ave & E 30 St,40.74144387,-73.97536082,27521,Subscriber,1984,1
283,2017-05-01 00:23:46,2017-05-01 00:28:29,546,E 30 St & Park Ave S,40.74444921,-73.98303529,496,E 16 St & 5 Ave,40.73726186,-73.99238967,26134,Subscriber,1991,1
800,2017-05-01 00:23:47,2017-05-01 00:37:08,477,W 41 St & 8 Ave,40.75640548,-73.9900262,3243,E 58 St & 1 Ave,40.7589238638,-73.9622622728,18918,Subscriber,1976,1
146,2017-05-01 00:23:58,2017-05-01 00:26:24,3244,University Pl & E 8 St,40.7314372409,-73.9949034154,382,University Pl & E 14 St,40.73492695,-73.99200509,17064,Subscriber,1997,1
188,2017-05-01 00:24:13,2017-05-01 00:27:21,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,20884,Subscriber,1989,1
889,2017-05-01 00:24:29,2017-05-01 00:39:18,470,W 20 St & 8 Ave,40.74345335,-74.00004031,453,W 22 St & 8 Ave,40.74475148,-73.99915362,16905,Subscriber,1964,1
284,2017-05-01 00:24:51,2017-05-01 00:29:36,239,Willoughby St & Fleet St,40.69196566,-73.9813018,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,25675,Subscriber,1981,1
361,2017-05-01 00:25:14,2017-05-01 00:31:15,2012,E 27 St & 1 Ave,40.739445,-73.976806,504,1 Ave & E 16 St,40.73221853,-73.98165557,28398,Subscriber,1978,1
1672,2017-05-01 00:25:15,2017-05-01 00:53:08,3344,Pioneer St & Van Brunt St,40.679043,-74.011169,361,Allen St & Hester St,40.71605866,-73.99190759,26523,Subscriber,1986,2
573,2017-05-01 00:25:16,2017-05-01 00:34:50,383,Greenwich Ave & Charles St,40.735238,-74.000271,439,E 4 St & 2 Ave,40.7262807,-73.98978041,29054,Subscriber,1988,1
492,2017-05-01 00:26:18,2017-05-01 00:34:30,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,25695,Subscriber,1977,1
784,2017-05-01 00:26:26,2017-05-01 00:39:30,368,Carmine St & 6 Ave,40.73038599,-74.00214988,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,18537,Subscriber,1992,1
509,2017-05-01 00:26:46,2017-05-01 00:35:16,3073,Division Ave & Hooper St,40.70691254,-73.95441667,3086,Graham Ave & Conselyea St,40.715143,-73.944507,20772,Customer,1987,1
1572,2017-05-01 00:26:44,2017-05-01 00:52:57,3125,45 Rd & 11 St,40.74708586,-73.94977234,3241,Monroe St & Tompkins Ave,40.686203,-73.944694,28422,Subscriber,1990,1
727,2017-05-01 00:27:04,2017-05-01 00:39:12,532,S 5 Pl & S 4 St,40.710451,-73.960876,3430,Richardson St & N Henry St,40.7190789118,-73.9422369003,17030,Subscriber,1986,1
592,2017-05-01 00:27:06,2017-05-01 00:36:58,335,Washington Pl & Broadway,40.72903917,-73.99404649,266,Avenue D & E 8 St,40.72368361,-73.97574813,19572,Subscriber,1993,1
459,2017-05-01 00:27:06,2017-05-01 00:34:46,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,3435,Grand St & Elizabeth St,40.718822,-73.99596,28994,Subscriber,1978,1
347,2017-05-01 00:27:36,2017-05-01 00:33:24,403,E 2 St & 2 Ave,40.72502876,-73.99069656,382,University Pl & E 14 St,40.73492695,-73.99200509,25085,Subscriber,1997,1
568,2017-05-01 00:27:37,2017-05-01 00:37:06,262,Washington Park,40.6917823,-73.9737299,3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,29036,Subscriber,1988,1
182,2017-05-01 00:28:07,2017-05-01 00:31:10,3086,Graham Ave & Conselyea St,40.715143,-73.944507,3430,Richardson St & N Henry St,40.7190789118,-73.9422369003,17696,Subscriber,1973,1
119,2017-05-01 00:28:26,2017-05-01 00:30:25,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3165,Central Park West & W 72 St,40.7757937668,-73.9762057364,15393,Subscriber,1950,1
276,2017-05-01 00:28:33,2017-05-01 00:33:09,480,W 53 St & 10 Ave,40.76669671,-73.99061728,469,Broadway & W 53 St,40.76344058,-73.98268129,27394,Subscriber,1991,1
695,2017-05-01 00:29:57,2017-05-01 00:41:32,173,Broadway & W 49 St,40.760683271,-73.9845272899,515,W 43 St & 10 Ave,40.76009437,-73.99461843,21108,Subscriber,1984,1
1104,2017-05-01 00:30:12,2017-05-01 00:48:37,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,3338,2 Ave & E 99 St,40.7862586,-73.94552579,27216,Subscriber,1992,2
233,2017-05-01 00:30:40,2017-05-01 00:34:33,401,Allen St & Rivington St,40.72019576,-73.98997825,151,Cleveland Pl & Spring St,40.7221037867,-73.9972490072,15443,Subscriber,1982,1
425,2017-05-01 00:31:29,2017-05-01 00:38:35,3067,Broadway & Whipple St,40.7016657,-73.9437303,3453,Devoe St & Lorimer St,40.7133522622,-73.9491033554,24891,Subscriber,1975,1
249,2017-05-01 00:31:34,2017-05-01 00:35:43,440,E 45 St & 3 Ave,40.75255434,-73.97282625,441,E 52 St & 2 Ave,40.756014,-73.967416,25347,Subscriber,1951,1
263,2017-05-01 00:32:03,2017-05-01 00:36:26,355,Bayard St & Baxter St,40.71602118,-73.99974372,331,Pike St & Monroe St,40.71173107,-73.99193043,26670,Subscriber,1988,1
759,2017-05-01 00:32:07,2017-05-01 00:44:47,523,W 38 St & 8 Ave,40.75466591,-73.99138152,454,E 51 St & 1 Ave,40.75455731,-73.96592976,14760,Subscriber,1992,1
2003,2017-05-01 00:32:24,2017-05-01 01:05:47,3259,9 Ave & W 28 St,40.7493702419,-73.9992338419,408,Market St & Cherry St,40.71076228,-73.99400398,25373,Subscriber,1953,1
203,2017-05-01 00:32:45,2017-05-01 00:36:08,488,W 39 St & 9 Ave,40.75645824,-73.99372222,515,W 43 St & 10 Ave,40.76009437,-73.99461843,14786,Subscriber,1983,1
1451,2017-05-01 00:32:52,2017-05-01 00:57:04,387,Centre St & Chambers St,40.71273266,-74.0046073,505,6 Ave & W 33 St,40.74901271,-73.98848395,27612,Customer,NULL,0
1796,2017-05-01 00:32:57,2017-05-01 01:02:54,3165,Central Park West & W 72 St,40.7757937668,-73.9762057364,3165,Central Park West & W 72 St,40.7757937668,-73.9762057364,28341,Subscriber,1950,1
66,2017-05-01 00:33:17,2017-05-01 00:34:23,474,5 Ave & E 29 St,40.7451677,-73.98683077,474,5 Ave & E 29 St,40.7451677,-73.98683077,21003,Customer,NULL,0
893,2017-05-01 00:33:38,2017-05-01 00:48:32,474,5 Ave & E 29 St,40.7451677,-73.98683077,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,18330,Customer,NULL,0
731,2017-05-01 00:34:18,2017-05-01 00:46:29,476,E 31 St & 3 Ave,40.74394314,-73.97966069,265,Stanton St & Chrystie St,40.72229346,-73.99147535,14544,Subscriber,1994,1
238,2017-05-01 00:34:18,2017-05-01 00:38:17,476,E 31 St & 3 Ave,40.74394314,-73.97966069,461,E 20 St & 2 Ave,40.73587678,-73.98205027,28465,Subscriber,1993,1
